codigo,marca,tipo,categoria,preco_unitario,custo,obs
TELG000559,LG,Televisao,9,550.00,148.50,
TESO0001210,Sony,Televisao,10,1200.00,240.00,
TESO0003311,Sony,Televisao,11,3300.00,726.00,
TESO0006012,Sony,Televisao,12,600.00,138.00,
TESO0005913,Sony,Televisao,13,599.00,131.80,
REAP000101,Apple,Relogio,1,1080.00,280.80,
REAP000702,Apple,Relogio,2,700.00,182.00,
REAP000643,Apple,Relogio,3,640.00,179.20,
REAP000504,Apple,Relogio,4,500.00,110.00,
REAP000485,Apple,Relogio,5,480.00,120.00,
REAP000446,Apple,Relogio,6,440.00,118.80,
REAP000327,Apple,Relogio,7,320.00,92.80,
REGA000928,Garmin,Relogio,8,920.00,239.20,
REGA000809,Garmin,Relogio,9,800.00,160.00,
RESA0002410,Samsung,Relogio,10,240.00,55.20,
CaCA000581,Canon,Camera,1,589.00,176.70,
CaCA000502,Canon,Camera,2,509.00,112.00,
CaCA000483,Canon,Camera,3,489.00,107.60,
CaCA000894,Canon,Camera,4,899.00,260.70,
MOLO000151,Logitech,Mouse,1,15.99,5.10,
TELG000101,LG,Teclado,1,10.00,2.50,
MOSA000191,Samsung,Monitor,1,199.99,52.00,
CaNI000131,Nikon,Camera,1,1396.00,349.00,
CaNI000272,Nikon,Camera,2,2796.95,643.30,
CaNI000793,Nikon,Camera,3,796.95,239.10,
CaNI000214,Nikon,Camera,4,2196.95,527.30,
MODE000191,Dell,Mouse,1,19.99,5.80,
TEMU000211,Multilaser,Teclado,1,21.99,4.40,
MOSA000121,Samsung,Monitor,1,129.99,45.50,
MODE000141,Dell,Mouse,1,14.99,4.60,
TEMU0008.1,Multilaser,Teclado,1,8.99,1.80,
MOSA000171,Samsung,Monitor,1,179.99,46.80,
MODE000281,Dell,Mouse,1,28.99,8.70,
CaNI000251,Nikon,Camera,1,2596.95,811.10,
CaSO000212,Sony,Camera,2,2198.00,461.60,
CaSO000153,Sony,Camera,3,1598.00,479.40,
CaSO000124,Sony,Camera,4,1298.00,298.50,
CaSO000165,Sony,Camera,5,1698.00,441.50,
CaSO000996,Sony,Camera,6,998.00,299.40,
CaSO000347,Sony,Camera,7,3498.00,874.50,
ACAP000191,Apple,Acessorios,1,19.00,3.80,
ACAP000222,Apple,Acessorios,2,22.00,4.40,
ACAP000293,Apple,Acessorios,3,29.00,5.80,
ACAP000194,Apple,Acessorios,4,19.00,3.80,
ACAP000295,Apple,Acessorios,5,29.00,5.80,
ACSA000196,Samsung,Acessorios,6,19.99,6.50,
ACSA000247,Samsung,Acessorios,7,24.99,8.20,
ACSA000298,Samsung,Acessorios,8,29.99,8.90,
ACSA0008.9,Samsung,Acessorios,9,8.90,2.40,
ACSA0001410,Samsung,Acessorios,10,14.90,3.20,
ACSA0001211,Samsung,Acessorios,11,12.50,2.80,
NOAP000501,Apple,Notebook,1,5099.00,1070.80,
NODE000502,Dell,Notebook,2,5099.00,1478.70,
NOAC000123,Acer,Notebook,3,1249.00,374.70,
NODE000544,Dell,Notebook,4,549.00,137.30,
NOSA000395,Samsung,Notebook,5,399.00,103.70,
NOLE000346,Lenovo,Notebook,6,349.00,101.20,
NOSA000547,Samsung,Notebook,7,549.00,115.30,
NOLE000298,Lenovo,Notebook,8,299.00,65.80,
NOMI000999,Microsoft,Notebook,9,999.00,239.80,
NOMI0002110,Microsoft,Notebook,10,2199.00,637.70,
NOMI0001911,Microsoft,Notebook,11,1999.00,419.80,
NOMI0003612,Microsoft,Notebook,12,3600.00,972.00,
NOLE0009913,Lenovo,Notebook,13,999.00,269.70,
NOAC0007014,Acer,Notebook,14,700.00,154.00,
NOCO0003815,Compaq,Notebook,15,380.00,114.00,
NOPO0003416,Positivo,Notebook,16,349.00,104.70,
NOPO0003217,Positivo,Notebook,17,320.00,80.00,
NOVA0003118,Vaio,Notebook,18,319.00,86.10,
NOHP0004919,HP,Notebook,19,4999.00,999.80,
NOAS0001920,Asus,Notebook,20,1999.00,539.70,
CEMO000101,Motorola,Celular,1,100.00,24.00,
CEMO000152,Motorola,Celular,2,150.00,45.00,
CEMO000893,Motorola,Celular,3,89.00,26.70,
CEMO000114,Motorola,Celular,4,119.00,29.80,
CEMO000695,Motorola,Celular,5,69.00,17.30,
CEMO000996,Motorola,Celular,6,99.00,28.70,
CEMO000197,Motorola,Celular,7,199.00,39.80,
NOAS000691,Asus,Notebook,1,6999.00,1399.80,
NOAS000702,Asus,Notebook,2,700.00,161.00,
NOLG000133,LG,Notebook,3,1393.00,334.30,
NOHP000824,HP,Notebook,4,820.00,164.00,
NOHP000165,HP,Notebook,5,1600.00,368.00,
NODE000126,Dell,Notebook,6,1220.00,244.00,
NOLE000147,Lenovo,Notebook,7,1487.00,386.60,
NOLE000248,Lenovo,Notebook,8,249.00,49.80,
NORA000399,Razer,Notebook,9,3999.00,1079.70,
NORA0001110,Razer,Notebook,10,1199.00,299.80,
NORA0001911,Razer,Notebook,11,1999.00,439.80,
NORA0007912,Razer,Notebook,12,7999.00,2159.70,
NOLE0001713,Lenovo,Notebook,13,1750.00,455.00,
NODE0001614,Dell,Notebook,14,1600.00,352.00,
ACAP000391,Apple,Acessorios,1,39.99,11.90,
ACAP000192,Apple,Acessorios,2,19.00,3.80,
ACSA0009.3,Samsung,Acessorios,3,9.55,2.10,
CEMO000271,Motorola,Celular,1,279.00,72.50,
FOMO000152,Motorola,Fone,2,150.00,33.00,
CEMO000223,Motorola,Celular,3,229.00,55.00,
